,Time,Year,Date,Week,Tm,Opp,Result,Home,Started,Att,PassYds,PassTD,RushYds,RushTD,name
62,68,2024,2024-09-08,1,LAC,LVR,W 22-10,True,True,26,144,1,6,0,justin herbert
63,69,2024,2024-09-15,2,LAC,CAR,W 26-3,False,True,20,130,2,18,0,justin herbert
64,70,2024,2024-09-22,3,LAC,PIT,L 10-20,False,True,18,125,1,0,0,justin herbert
65,71,2024,2024-09-29,4,LAC,KAN,L 10-17,True,True,27,179,1,0,0,justin herbert
