,Time,Year,Date,Week,Tm,Opp,Result,Home,Started,Att,PassYds,PassTD,RushYds,RushTD,name
77,180,2024,2024-09-08,1,SEA,DEN,W 26-20,True,True,25,171,1,30,1,geno smith
78,181,2024,2024-09-15,2,SEA,NWE,W 23-20,False,True,44,327,1,8,0,geno smith
79,182,2024,2024-09-22,3,SEA,MIA,W 24-3,True,True,34,289,1,-2,0,geno smith
80,183,2024,2024-09-30,4,SEA,DET,L 29-42,False,True,56,395,1,38,0,geno smith
81,184,2024,2024-10-06,5,SEA,NYG,L 20-29,True,True,40,284,1,72,0,geno smith
82,185,2024,2024-10-10,6,SEA,SFO,L 24-36,True,True,52,312,1,0,0,geno smith
