,0
1,1.304
2,1.213
3,1.181
4,1.147
5,1.122
6,1.103
7,1.083
8,1.074
9,1.059
10,1.054
11,1.042
12,1.033
13,1.026
14,1.02
15,1.01
16,1.001
17,0.999
18,0.99
19,0.982
20,0.972
21,0.965
22,0.959
23,0.949
24,0.939
25,0.931
26,0.924
27,0.915
28,0.904
29,0.892
30,0.874
31,0.853
32,0.813
