,Time,Year,Date,Week,Tm,Opp,Result,Home,Started,Att,PassYds,PassTD,RushYds,RushTD,name
49,84,2024,2024-09-08,1,LVR,LAC,L 10-22,False,True,33.0,257.0,1.0,5.0,0.0,gardner minshew
50,85,2024,2024-09-15,2,LVR,BAL,W 26-23,False,True,38.0,276.0,1.0,-1.0,0.0,gardner minshew
51,86,2024,2024-09-22,3,LVR,CAR,L 22-36,True,True,28.0,214.0,1.0,14.0,0.0,gardner minshew
52,87,2024,2024-09-29,4,LVR,CLE,W 20-16,True,True,24.0,130.0,0.0,-2.0,0.0,gardner minshew
53,88,2024,2024-10-06,5,LVR,DEN,L 18-34,False,True,17.0,137.0,1.0,22.0,0.0,gardner minshew
