,Time,Year,Date,Week,Tm,Opp,Result,Home,Started,Att,PassYds,PassTD,RushYds,RushTD,name
60,84,2024,2024-09-08,1,NYG,MIN,L 6-28,True,True,42,186,0,15,0,daniel jones
61,85,2024,2024-09-15,2,NYG,WAS,L 18-21,False,True,28,178,2,32,0,daniel jones
62,86,2024,2024-09-22,3,NYG,CLE,W 21-15,False,True,34,236,2,20,0,daniel jones
63,87,2024,2024-09-26,4,NYG,DAL,L 15-20,True,True,40,281,0,3,0,daniel jones
64,88,2024,2024-10-06,5,NYG,SEA,W 29-20,False,True,34,257,2,38,0,daniel jones
