Tm,PassYds,RushYds,Year,def_rk
Pittsburgh Steelers,2751,1597,2011,1.0
San Francisco 49ers,3695,1236,2011,16.0
Baltimore Ravens,3140,1482,2011,4.0
Houston Texans,3035,1536,2011,3.0
Cleveland Browns,2959,2359,2011,2.0
Miami Dolphins,3992,1530,2011,25.0
Seattle Seahawks,3518,1797,2011,11.0
Tennessee Titans,3629,2053,2011,14.0
Cincinnati Bengals,3385,1675,2011,9.0
Philadelphia Eagles,3397,1801,2011,10.0
Jacksonville Jaguars,3341,1667,2011,8.0
Kansas City Chiefs,3221,2112,2011,6.0
New Orleans Saints,4157,1738,2011,30.0
Chicago Bears,4065,1542,2011,28.0
New England Patriots,4703,1874,2011,31.0
Dallas Cowboys,3906,1585,2011,23.0
Arizona Cardinals,3696,1986,2011,17.0
Atlanta Falcons,3786,1552,2011,20.0
Green Bay Packers,4796,1789,2011,32.0
New York Jets,3216,1777,2011,5.0
Washington Redskins,3553,1884,2011,12.0
San Diego Chargers,3591,1955,2011,13.0
Detroit Lions,3831,2050,2011,22.0
Denver Broncos,3704,2021,2011,18.0
New York Giants,4082,1940,2011,29.0
St. Louis Rams,3301,2433,2011,7.0
Carolina Panthers,3949,2093,2011,24.0
Indianapolis Colts,3632,2303,2011,15.0
Oakland Raiders,4023,2178,2011,27.0
Buffalo Bills,3714,2224,2011,19.0
Minnesota Vikings,4019,1712,2011,26.0
Tampa Bay Buccaneers,3814,2497,2011,21.0
