Tm,PassYds,RushYds,Year,def_rk
Seattle Seahawks,4378,1626,2013,1.0
Carolina Panthers,4820,1391,2013,2.0
San Francisco 49ers,5071,1535,2013,5.0
New Orleans Saints,4891,1786,2013,4.0
Cincinnati Bengals,4888,1544,2013,3.0
Kansas City Chiefs,5885,1923,2013,24.0
Arizona Cardinals,5079,1351,2013,6.0
Miami Dolphins,5750,1998,2013,21.0
Indianapolis Colts,5713,2002,2013,20.0
New England Patriots,5969,2145,2013,26.0
San Diego Chargers,5864,1725,2013,23.0
Baltimore Ravens,5368,1687,2013,12.0
St. Louis Rams,5520,1646,2013,15.0
Pittsburgh Steelers,5395,1849,2013,13.0
Detroit Lions,5546,1596,2013,16.0
Tennessee Titans,5407,1795,2013,14.0
Philadelphia Eagles,6304,1668,2013,29.0
New York Giants,5316,1743,2013,8.0
New York Jets,5359,1412,2013,11.0
Buffalo Bills,5334,2063,2013,10.0
Tampa Bay Buccaneers,5568,1762,2013,17.0
Denver Broncos,5696,1626,2013,19.0
Cleveland Browns,5319,1781,2013,9.0
Houston Texans,5081,1958,2013,7.0
Green Bay Packers,5956,2000,2013,25.0
Dallas Cowboys,6645,2056,2013,32.0
Atlanta Falcons,6070,2173,2013,27.0
Jacksonville Jaguars,6070,2108,2013,27.0
Oakland Raiders,5819,1727,2013,22.0
Washington Redskins,5665,1769,2013,18.0
Chicago Bears,6313,2583,2013,30.0
Minnesota Vikings,6362,1767,2013,31.0
