Tm,PassYds,RushYds,Year,def_rk
New England Patriots,3806,1417,2016,12.0
New York Giants,4018,1417,2016,23.0
Seattle Seahawks,3612,1487,2016,8.0
Denver Broncos,2972,2085,2016,1.0
Dallas Cowboys,4167,1336,2016,26.0
Minnesota Vikings,3327,1711,2016,3.0
Kansas City Chiefs,3958,1938,2016,18.0
Cincinnati Bengals,3800,1812,2016,11.0
Baltimore Ravens,3724,1430,2016,9.0
Pittsburgh Steelers,3882,1600,2016,16.0
Houston Texans,3226,1595,2016,2.0
Philadelphia Eagles,3832,1652,2016,13.0
Detroit Lions,3975,1701,2016,19.0
Arizona Cardinals,3365,1518,2016,4.0
Tampa Bay Buccaneers,4012,1875,2016,22.0
Tennessee Titans,4307,1413,2016,30.0
Buffalo Bills,3582,2130,2016,6.0
Miami Dolphins,3875,2247,2016,15.0
Washington Redskins,4130,1916,2016,25.0
Oakland Raiders,4120,1881,2016,24.0
Green Bay Packers,4308,1515,2016,31.0
Indianapolis Colts,4200,1926,2016,27.0
Los Angeles Rams,3732,1660,2016,10.0
Chicago Bears,3598,1950,2016,7.0
Jacksonville Jaguars,3444,1703,2016,5.0
Carolina Panthers,4291,1465,2016,29.0
Atlanta Falcons,4267,1672,2016,28.0
New York Jets,3898,1581,2016,17.0
San Diego Chargers,3987,1567,2016,20.0
Cleveland Browns,3996,2283,2016,21.0
New Orleans Saints,4380,1626,2016,32.0
San Francisco 49ers,3848,2654,2016,14.0
