Tm,PassYds,RushYds,Year,def_rk
Minnesota Vikings,3078,1337,2017,2.0
Jacksonville Jaguars,2718,1860,2017,1.0
Los Angeles Chargers,3156,2098,2017,3.0
Philadelphia Eagles,3637,1267,2017,17.0
New England Patriots,4020,1836,2017,30.0
Baltimore Ravens,3421,1780,2017,10.0
Pittsburgh Steelers,3217,1693,2017,5.0
Atlanta Falcons,3429,1665,2017,12.0
Chicago Bears,3376,1730,2017,7.0
New Orleans Saints,3597,1787,2017,15.0
Carolina Panthers,3665,1409,2017,18.0
Los Angeles Rams,3475,1957,2017,13.0
Dallas Cowboys,3425,1664,2017,11.0
Seattle Seahawks,3347,1824,2017,6.0
Kansas City Chiefs,3952,1890,2017,29.0
Cincinnati Bengals,3379,2046,2017,8.0
Tennessee Titans,3828,1420,2017,25.0
Buffalo Bills,3688,1994,2017,20.0
Arizona Cardinals,3541,1432,2017,14.0
Oakland Raiders,3858,1743,2017,26.0
Detroit Lions,3892,1800,2017,27.0
New York Jets,3749,1887,2017,21.0
Denver Broncos,3210,1430,2017,4.0
Tampa Bay Buccaneers,4169,1880,2017,32.0
San Francisco 49ers,3764,1861,2017,22.0
Green Bay Packers,3789,1793,2017,23.0
New York Giants,4038,1933,2017,31.0
Washington Redskins,3420,2146,2017,9.0
Miami Dolphins,3603,1768,2017,16.0
Indianapolis Colts,3946,1927,2017,28.0
Cleveland Browns,3684,1566,2017,19.0
Houston Texans,3799,1747,2017,24.0
