Tm,PassYds,RushYds,Year,def_rk
Baltimore Ravens,3011,1214,2006,6.0
New England Patriots,3203,1507,2006,12.0
Chicago Bears,3116,1590,2006,11.0
Jacksonville Jaguars,3078,1460,2006,10.0
Miami Dolphins,3007,1618,2006,5.0
New York Jets,3222,2084,2006,14.0
San Diego Chargers,3212,1613,2006,13.0
Carolina Panthers,3000,1737,2006,4.0
Denver Broncos,3407,1813,2006,21.0
Buffalo Bills,3019,2254,2006,7.0
Pittsburgh Steelers,3393,1412,2006,20.0
Kansas City Chiefs,3334,1928,2006,18.0
New Orleans Saints,2854,2063,2006,3.0
Minnesota Vikings,3818,985,2006,31.0
Atlanta Falcons,3668,1657,2006,29.0
Philadelphia Eagles,3067,2182,2006,9.0
Cincinnati Bengals,3818,1863,2006,31.0
Oakland Raiders,2413,2144,2006,1.0
Seattle Seahawks,3256,2029,2006,16.0
Dallas Cowboys,3506,1659,2006,24.0
Tampa Bay Buccaneers,3354,1917,2006,19.0
Cleveland Browns,3242,2273,2006,15.0
Indianapolis Colts,2548,2768,2006,2.0
New York Giants,3649,1830,2006,28.0
Green Bay Packers,3309,1825,2006,17.0
Houston Texans,3444,1956,2006,22.0
Washington Redskins,3491,2197,2006,23.0
St. Louis Rams,3035,2327,2006,8.0
Arizona Cardinals,3694,1897,2006,30.0
Detroit Lions,3520,2010,2006,25.0
Tennessee Titans,3602,2313,2006,27.0
San Francisco 49ers,3571,1936,2006,26.0
