Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
43,2011,2011-11-24,11,12,23.290,DET,,GNB,L 15-27,*,32,45,71.11,276,1,3,66.5,1,3,6.13,3.58,4,31,7.75,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,
44,2011,2011-12-04,12,13,23.300,DET,@,NOR,L 17-31,*,31,44,70.45,408,1,1,97.5,3,29,9.27,8.70,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,
45,2011,2011-12-11,13,14,23.307,DET,,MIN,W 34-28,*,20,29,68.97,227,2,0,115.2,5,19,7.83,9.21,2,4,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,
46,2011,2011-12-18,14,15,23.314,DET,@,OAK,W 28-27,*,29,52,55.77,391,4,0,105.5,2,16,7.52,9.06,1,5,5.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,
47,2011,2011-12-24,15,16,23.320,DET,,SDG,W 38-10,*,29,36,80.56,373,3,0,137.6,3,20,10.36,12.03,2,5,2.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,
48,2011,2012-01-01,16,17,23.328,DET,@,GNB,L 41-45,*,36,59,61.02,520,5,2,103.8,2,18,8.81,8.98,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,
49,2012,2012-09-09,1,1,24.215,DET,,STL,W 27-23,*,32,48,66.67,355,1,3,69.4,1,9,7.40,5.00,0,0,,0,1,1,3,3.00,0,100.0%,3.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,67,100%,0,0%,0,0%,
50,2012,2012-09-16,2,2,24.222,DET,@,SFO,L 19-27,*,19,32,59.38,230,1,1,78.9,2,16,7.19,6.41,2,10,5.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,64,100%,0,0%,0,0%,
51,2012,2012-09-23,3,3,24.229,DET,@,TEN,L 41-44,*,33,42,78.57,278,1,0,102.2,1,8,6.62,7.10,2,12,6.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,77,80%,0,0%,0,0%,
52,2012,2012-09-30,4,4,24.236,DET,,MIN,L 13-20,*,30,51,58.82,319,0,0,77.2,5,33,6.25,6.25,4,14,3.50,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,78,100%,0,0%,0,0%,
53,2012,2012-10-14,5,6,24.250,DET,@,PHI,W 26-23,*,22,45,48.89,311,1,1,69.8,0,0,6.91,6.36,3,7,2.33,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,78,100%,0,0%,0,0%,
54,2012,2012-10-22,6,7,24.258,DET,@,CHI,L 7-13,*,28,46,60.87,263,1,1,74.8,3,20,5.72,5.17,3,21,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,
55,2012,2012-10-28,7,8,24.264,DET,,SEA,W 28-24,*,34,49,69.39,352,3,1,101.7,2,21,7.18,7.49,4,12,3.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,73,100%,0,0%,0,0%,
56,2012,2012-11-04,8,9,24.271,DET,@,JAX,W 31-14,*,22,33,66.67,285,0,0,93.6,1,0,8.64,8.64,2,-2,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,71,100%,0,0%,0,0%,
57,2012,2012-11-11,9,10,24.278,DET,@,MIN,L 24-34,*,28,42,66.67,329,3,1,104.2,2,21,7.83,8.19,3,13,4.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,-5,0,63,100%,0,0%,0,0%,
58,2012,2012-11-18,10,11,24.285,DET,,GNB,L 20-24,*,17,39,43.59,266,1,2,54.0,5,14,6.82,5.03,2,12,6.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,72,100%,0,0%,0,0%,
59,2012,2012-11-22,11,12,24.289,DET,,HOU,L 31-34,*,31,61,50.82,441,2,0,85.5,3,22,7.23,7.89,2,7,3.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,89,100%,0,0%,0,0%,
60,2012,2012-12-02,12,13,24.299,DET,,IND,L 33-35,*,27,46,58.70,313,2,1,84.8,0,0,6.80,6.70,1,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,-2,0,77,100%,0,0%,0,0%,
61,2012,2012-12-09,13,14,24.306,DET,@,GNB,L 20-27,*,27,45,60.00,264,1,1,74.7,1,13,5.87,5.31,3,9,3.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,1,1,0,0,0,0,84,100%,0,0%,0,0%,
62,2012,2012-12-16,14,15,24.313,DET,@,ARI,L 10-38,*,24,50,48.00,246,0,3,37.6,2,18,4.92,2.22,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,77,100%,0,0%,0,0%,
63,2012,2012-12-22,15,16,24.319,DET,,ATL,L 18-31,*,37,56,66.07,443,0,1,82.7,0,0,7.91,7.11,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,78,100%,0,0%,0,0%,
64,2012,2012-12-30,16,17,24.327,DET,,CHI,L 24-26,*,24,42,57.14,272,3,1,90.6,1,17,6.48,6.83,3,9,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,2,2,0,0,0,0,64,100%,0,0%,0,0%,
65,2013,2013-09-08,1,1,25.213,DET,,MIN,W 34-24,*,28,43,65.12,357,2,1,96.8,0,0,8.30,8.19,6,-3,-0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,-1,0,80,100%,0,0%,0,0%,
66,2013,2013-09-15,2,2,25.220,DET,@,ARI,L 21-25,*,24,36,66.67,278,2,0,108.3,1,5,7.72,8.83,2,1,0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,1,0,0,-6,0,59,100%,0,0%,0,0%,
67,2013,2013-09-22,3,3,25.227,DET,@,WAS,W 27-20,*,25,42,59.52,385,2,1,95.8,1,7,9.17,9.05,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,67,100%,0,0%,0,0%,
68,2013,2013-09-29,4,4,25.234,DET,,CHI,W 40-32,*,23,35,65.71,242,1,1,83.3,1,14,6.91,6.20,5,8,1.60,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,2,1,0,1,0,0,66,100%,0,0%,0,0%,
69,2013,2013-10-06,5,5,25.241,DET,@,GNB,L 9-22,*,25,40,62.50,262,1,0,89.8,5,40,6.55,7.05,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,67,100%,0,0%,0,0%,
70,2013,2013-10-13,6,6,25.248,DET,@,CLE,W 31-17,*,25,43,58.14,248,4,1,95.9,1,0,5.77,6.58,2,6,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,1,1,,,0,0,0,0,0,0,75,100%,0,0%,0,0%,
71,2013,2013-10-20,7,7,25.255,DET,,CIN,L 24-27,*,28,51,54.90,357,3,0,96.6,0,0,7.00,8.18,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,78,100%,0,0%,0,0%,
