,Time,Year,Date,Week,Tm,Opp,Result,Home,Started,Att,PassYds,PassTD,RushYds,RushTD,def_rk,name
57,74,2022,2022-11-07,9,BAL,NOR,W 27-13,False,True,22,133,1,82,0,2.0,lamar jackson
58,75,2022,2022-11-20,11,BAL,CAR,W 13-3,True,True,33,209,0,31,1,23.0,lamar jackson
59,76,2022,2022-11-27,12,BAL,JAX,L 27-28,False,True,32,254,1,89,0,28.0,lamar jackson
60,77,2022,2022-12-04,13,BAL,DEN,W 10-9,True,True,4,11,0,9,0,13.0,lamar jackson
61,83,2023,2023-09-10,1,BAL,HOU,W 25-9,True,True,22,169,0,38,0,23.0,lamar jackson
62,84,2023,2023-09-17,2,BAL,CIN,W 27-24,False,True,33,237,2,54,0,28.0,lamar jackson
63,85,2023,2023-09-24,3,BAL,IND,L 19-22,True,True,31,202,0,101,2,16.0,lamar jackson
64,86,2023,2023-10-01,4,BAL,CLE,W 28-3,False,True,19,186,2,27,2,1.0,lamar jackson
65,87,2023,2023-10-08,5,BAL,PIT,L 10-17,False,True,38,236,0,45,0,17.0,lamar jackson
66,88,2023,2023-10-15,6,BAL,TEN,W 24-16,False,True,30,223,1,62,0,18.0,lamar jackson
67,89,2023,2023-10-22,7,BAL,DET,W 38-6,True,True,27,357,3,36,1,27.0,lamar jackson
68,90,2023,2023-10-29,8,BAL,ARI,W 31-24,False,True,27,157,1,17,0,13.0,lamar jackson
69,91,2023,2023-11-05,9,BAL,SEA,W 37-3,True,True,26,187,0,60,0,21.0,lamar jackson
70,92,2023,2023-11-12,10,BAL,CLE,L 31-33,True,True,23,223,1,41,0,1.0,lamar jackson
71,93,2023,2023-11-16,11,BAL,CIN,W 34-20,True,True,26,264,2,54,0,28.0,lamar jackson
72,94,2023,2023-11-26,12,BAL,LAC,W 20-10,False,True,32,177,1,39,0,30.0,lamar jackson
73,95,2023,2023-12-10,14,BAL,LAR,W 37-31,True,True,43,316,3,70,0,20.0,lamar jackson
74,96,2023,2023-12-17,15,BAL,JAX,W 23-7,False,True,24,171,1,97,0,26.0,lamar jackson
75,97,2023,2023-12-25,16,BAL,SFO,W 33-19,False,True,35,252,2,45,0,14.0,lamar jackson
76,98,2023,2023-12-31,17,BAL,MIA,W 56-19,True,True,21,321,5,35,0,15.0,lamar jackson
