Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,1,1,22.104,NYG,@,DAL,L 17-35,,3,4,75.00,17,0,0,82.3,0,0,4.25,4.25,1,5,5.00,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,5,7%,0,0%,0,0%,
3,2019,2019-09-22,3,3,22.118,NYG,@,TAM,W 32-31,*,23,36,63.89,336,2,0,112.7,5,24,9.33,10.44,4,28,7.00,2,0,0,0,,0,0.0%,,,2,12,2,2,0,0,0,0,62,100%,0,0%,0,0%,
4,2019,2019-09-29,4,4,22.125,NYG,,WAS,W 24-3,*,23,31,74.19,225,1,2,78.0,0,0,7.26,5.00,5,33,6.60,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,0,0,77,100%,0,0%,0,0%,
5,2019,2019-10-06,5,5,22.132,NYG,,MIN,L 10-28,*,21,38,55.26,182,1,1,65.9,4,35,4.79,4.13,3,12,4.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,
6,2019,2019-10-10,6,6,22.136,NYG,@,NWE,L 14-35,*,15,31,48.39,161,1,3,35.2,1,0,5.19,1.48,2,8,4.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,50,100%,0,0%,0,0%,
7,2019,2019-10-20,7,7,22.146,NYG,,ARI,L 21-27,*,22,35,62.86,223,1,1,78.6,8,67,6.37,5.66,4,35,8.75,0,0,0,0,,0,0.0%,,,0,0,3,2,0,0,0,0,70,100%,0,0%,0,0%,
8,2019,2019-10-27,8,8,22.153,NYG,@,DET,L 26-31,*,28,41,68.29,322,4,0,124.2,3,32,7.85,9.80,4,13,3.25,0,0,0,0,,0,0.0%,,,0,0,2,1,0,1,0,0,74,100%,0,0%,0,0%,
9,2019,2019-11-04,9,9,22.161,NYG,,DAL,L 18-37,*,26,41,63.41,210,1,1,74.2,5,39,5.12,4.51,6,54,9.00,0,0,0,0,,0,0.0%,,,0,0,2,2,0,0,0,0,71,100%,0,0%,0,0%,
10,2019,2019-11-10,10,10,22.167,NYG,@,NYJ,L 27-34,*,26,40,65.00,308,4,0,121.7,6,50,7.70,9.70,3,20,6.67,0,0,0,0,,0,0.0%,,,0,0,3,1,0,1,0,0,69,100%,0,0%,0,0%,
11,2019,2019-11-24,11,12,22.181,NYG,@,CHI,L 14-19,*,21,36,58.33,150,2,0,86.6,1,16,4.17,5.28,2,27,13.50,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,60,100%,0,0%,0,0%,
12,2019,2019-12-01,12,13,22.188,NYG,,GNB,L 13-31,*,20,37,54.05,240,1,3,49.4,0,0,6.49,3.38,5,6,1.20,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,-8,0,66,100%,0,0%,0,0%,
15,2019,2019-12-22,15,16,22.209,NYG,@,WAS,W 41-35,*,28,42,66.67,352,5,0,132.1,1,6,8.38,10.76,3,12,4.00,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,0,0,70,100%,0,0%,0,0%,
16,2019,2019-12-29,16,17,22.216,NYG,,PHI,L 17-34,*,28,47,59.57,301,1,1,76.6,4,26,6.40,5.87,3,26,8.67,0,0,0,0,,0,0.0%,,,0,0,2,1,0,1,-7,0,74,100%,0,0%,0,0%,
17,2020,2020-09-14,1,1,23.110,NYG,,PIT,L 16-26,*,26,41,63.41,279,2,2,79.2,3,17,6.80,5.59,4,22,5.50,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,
18,2020,2020-09-20,2,2,23.116,NYG,@,CHI,L 13-17,*,25,40,62.50,241,0,1,68.9,4,21,6.03,4.90,3,21,7.00,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,65,100%,0,0%,0,0%,
19,2020,2020-09-27,3,3,23.123,NYG,,SFO,L 9-36,*,17,32,53.13,179,0,1,56.6,2,14,5.59,4.19,5,49,9.80,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,-5,0,52,100%,0,0%,0,0%,
20,2020,2020-10-04,4,4,23.130,NYG,@,LAR,L 9-17,*,23,36,63.89,190,0,1,65.7,5,31,5.28,4.03,6,45,7.50,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,0,0,68,100%,0,0%,0,0%,
21,2020,2020-10-11,5,5,23.137,NYG,@,DAL,L 34-37,*,20,33,60.61,222,0,0,80.6,2,11,6.73,6.73,2,-7,-3.50,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,68,100%,0,0%,0,0%,
22,2020,2020-10-18,6,6,23.144,NYG,,WAS,W 20-19,*,12,19,63.16,112,1,1,74.9,1,4,5.89,4.58,7,74,10.57,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,48,100%,0,0%,0,0%,
23,2020,2020-10-22,7,7,23.148,NYG,@,PHI,L 21-22,*,20,30,66.67,187,2,1,91.9,3,22,6.23,6.07,4,92,23.00,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,60,100%,0,0%,0,0%,
24,2020,2020-11-02,8,8,23.159,NYG,,TAM,L 23-25,*,25,41,60.98,256,2,2,74.8,3,18,6.24,5.02,3,20,6.67,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,74,100%,0,0%,0,0%,
25,2020,2020-11-08,9,9,23.165,NYG,@,WAS,W 23-20,*,23,34,67.65,212,1,0,94.2,5,28,6.24,6.82,6,4,0.67,0,0,0,0,,0,0.0%,,,0,0,2,0,0,1,0,0,77,100%,0,0%,0,0%,
26,2020,2020-11-15,10,10,23.172,NYG,,PHI,W 27-17,*,21,28,75.00,244,0,0,100.9,3,13,8.71,8.71,9,64,7.11,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,71,100%,0,0%,0,0%,
27,2020,2020-11-29,11,12,23.186,NYG,@,CIN,W 19-17,*,16,27,59.26,213,0,0,84.3,0,0,7.89,7.89,6,19,3.17,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,51,63%,0,0%,0,0%,
29,2020,2020-12-13,13,14,23.200,NYG,,ARI,L 7-26,*,11,21,52.38,127,0,0,70.9,6,52,6.05,6.05,0,0,,0,0,0,0,,0,0.0%,,,0,0,3,1,0,1,0,0,44,90%,0,0%,0,0%,
31,2020,2020-12-27,15,16,23.214,NYG,@,BAL,L 13-27,*,24,41,58.54,252,1,0,84.6,6,37,6.15,6.63,1,3,3.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,
32,2020,2021-01-03,16,17,23.221,NYG,,DAL,W 23-19,*,17,25,68.00,229,2,1,106.9,2,18,9.16,8.96,9,17,1.89,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,58,100%,0,0%,0,0%,
33,2021,2021-09-12,1,1,24.108,NYG,,DEN,L 13-27,*,22,37,59.46,267,1,0,90.7,2,13,7.22,7.76,6,27,4.50,1,0,0,0,,0,0.0%,,,1,6,1,1,0,0,0,0,61,100%,0,0%,0,0%,
34,2021,2021-09-16,2,2,24.112,NYG,@,WAS,L 29-30,*,22,32,68.75,249,1,0,102.2,4,21,7.78,8.41,9,95,10.56,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,69,100%,0,0%,0,0%,
35,2021,2021-09-26,3,3,24.122,NYG,,ATL,L 14-17,*,24,35,68.57,266,0,0,90.9,2,20,7.60,7.60,8,39,4.88,0,0,0,0,,0,0.0%,,1,0,2,2,0,0,2,-11,0,70,100%,0,0%,0,0%,
36,2021,2021-10-03,4,4,24.129,NYG,@,NOR,W 27-21,*,28,40,70.00,402,2,1,108.5,0,0,10.05,9.93,4,27,6.75,0,0,0,0,,0,0.0%,,1,0,2,0,0,0,0,0,0,63,100%,0,0%,0,0%,
37,2021,2021-10-10,5,5,24.136,NYG,@,DAL,L 20-44,*,5,13,38.46,98,0,0,65.5,0,0,7.54,7.54,3,9,3.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,29,43%,0,0%,0,0%,
38,2021,2021-10-17,6,6,24.143,NYG,,LAR,L 11-38,*,29,51,56.86,242,0,3,44.7,4,41,4.75,2.10,3,4,1.33,0,0,0,0,,0,0.0%,,,0,0,2,1,0,0,0,0,75,100%,0,0%,0,0%,
39,2021,2021-10-24,7,7,24.150,NYG,,CAR,W 25-3,*,23,33,69.70,203,1,0,95.9,2,20,6.15,6.76,8,28,3.50,0,1,1,16,16.00,0,100.0%,16.00,,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,
40,2021,2021-11-01,8,8,24.158,NYG,@,KAN,L 17-20,*,22,32,68.75,222,2,1,96.1,3,13,6.94,6.78,5,12,2.40,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,0,0,60,100%,0,0%,0,0%,
41,2021,2021-11-07,9,9,24.164,NYG,,LVR,W 23-16,*,15,20,75.00,110,1,0,104.2,2,6,5.50,6.50,4,17,4.25,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,56,100%,0,0%,0,0%,
42,2021,2021-11-22,10,11,24.179,NYG,@,TAM,L 10-30,*,23,38,60.53,167,1,2,57.7,2,18,4.39,2.55,3,10,3.33,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,58,100%,0,0%,0,0%,
43,2021,2021-11-28,11,12,24.185,NYG,,PHI,W 13-7,*,19,30,63.33,202,1,0,94.0,1,8,6.73,7.40,9,30,3.33,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,
50,2022,2022-09-11,1,1,25.107,NYG,@,TEN,W 21-20,*,17,21,80.95,188,2,1,115.9,5,32,8.95,8.71,6,25,4.17,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,60,100%,0,0%,0,0%,
51,2022,2022-09-18,2,2,25.114,NYG,,CAR,W 19-16,*,22,34,64.71,176,1,0,87.4,3,14,5.18,5.76,10,21,2.10,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,
52,2022,2022-09-26,3,3,25.122,NYG,,DAL,L 16-23,*,20,37,54.05,196,0,1,57.9,5,27,5.30,4.08,9,79,8.78,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,
53,2022,2022-10-02,4,4,25.128,NYG,,CHI,W 20-12,*,8,13,61.54,71,0,0,76.1,1,11,5.46,5.46,6,68,11.33,2,0,0,0,,0,0.0%,,,2,12,0,0,0,0,0,0,53,82%,0,0%,0,0%,
54,2022,2022-10-09,5,5,25.135,NYG,@,GNB,W 27-22,*,21,27,77.78,217,0,0,100.2,1,4,8.04,8.04,10,37,3.70,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,
55,2022,2022-10-16,6,6,25.142,NYG,,BAL,W 24-20,*,19,27,70.37,173,2,0,112.1,4,18,6.41,7.89,6,6,1.00,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,65,100%,0,0%,0,0%,
56,2022,2022-10-23,7,7,25.149,NYG,@,JAX,W 23-17,*,19,30,63.33,202,1,0,94.0,1,2,6.73,7.40,11,107,9.73,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,77,100%,0,0%,0,0%,
57,2022,2022-10-30,8,8,25.156,NYG,@,SEA,L 13-27,*,17,31,54.84,176,0,0,71.4,5,29,5.68,5.68,6,20,3.33,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,0,0,65,100%,0,0%,0,0%,
58,2022,2022-11-13,9,10,25.170,NYG,,HOU,W 24-16,*,13,17,76.47,197,2,0,153.3,3,21,11.59,13.94,5,24,4.80,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,
59,2022,2022-11-20,10,11,25.177,NYG,,DET,L 18-31,*,27,44,61.36,341,1,2,74.1,2,17,7.75,6.16,7,50,7.14,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,76,100%,0,0%,0,0%,
60,2022,2022-11-24,11,12,25.181,NYG,@,DAL,L 20-28,*,21,35,60.00,228,1,0,88.7,3,18,6.51,7.09,3,14,4.67,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,0,0,64,100%,0,0%,0,0%,
61,2022,2022-12-04,12,13,25.191,NYG,,WAS,T 20-20,*,25,31,80.65,200,1,0,104.3,4,18,6.45,7.10,12,71,5.92,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,66,100%,0,0%,0,0%,
62,2022,2022-12-11,13,14,25.198,NYG,,PHI,L 22-48,*,18,27,66.67,169,1,0,96.1,4,17,6.26,7.00,4,26,6.50,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,52,81%,0,0%,0,0%,
63,2022,2022-12-18,14,15,25.205,NYG,@,WAS,W 20-12,*,21,32,65.63,160,0,0,77.6,0,0,5.00,5.00,10,35,3.50,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,
64,2022,2022-12-24,15,16,25.211,NYG,@,MIN,L 24-27,*,30,42,71.43,334,1,1,92.8,3,15,7.95,7.36,4,34,8.50,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,0,0,69,100%,0,0%,0,0%,
65,2022,2023-01-01,16,17,25.219,NYG,,IND,W 38-10,*,19,24,79.17,177,2,0,125.2,0,0,7.38,9.04,11,91,8.27,2,0,0,0,,0,0.0%,,,2,12,0,0,0,0,0,0,55,87%,0,0%,0,0%,
67,2023,2023-09-10,1,1,26.106,NYG,,DAL,L 0-40,*,15,28,53.57,104,0,2,32.4,7,47,3.71,0.50,13,43,3.31,0,0,0,0,,0,0.0%,,,0,0,2,0,0,1,-2,0,67,96%,0,0%,0,0%,
68,2023,2023-09-17,2,2,26.113,NYG,@,ARI,W 31-28,*,26,37,70.27,321,2,1,103.5,3,9,8.68,8.54,9,59,6.56,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,68,100%,0,0%,0,0%,
69,2023,2023-09-21,3,3,26.117,NYG,@,SFO,L 12-30,*,22,32,68.75,137,0,1,64.2,2,16,4.28,2.88,2,5,2.50,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,47,94%,0,0%,0,0%,
70,2023,2023-10-02,4,4,26.128,NYG,,SEA,L 3-24,*,27,34,79.41,203,0,2,67.0,10,59,5.97,3.32,10,66,6.60,0,0,0,0,,0,0.0%,,,0,0,2,1,0,0,0,0,73,97%,0,0%,0,0%,
71,2023,2023-10-08,5,5,26.134,NYG,@,MIA,L 16-31,*,14,20,70.00,119,0,0,85.2,6,19,5.95,5.95,4,24,6.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,49,68%,0,0%,0,0%,
