Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
31,2021,2021-12-26,15,16,25.016,CIN,,BAL,W 41-21,*,37,46,80.43,525,4,0,143.2,3,27,11.41,13.15,2,11,5.50,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,76,100%,0,0%,0,0%,
32,2021,2022-01-02,16,17,25.023,CIN,,KAN,W 34-31,*,30,39,76.92,446,4,0,148.0,4,31,11.44,13.49,5,10,2.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,97%,0,0%,0,0%,
34,2022,2022-09-11,1,1,25.275,CIN,,PIT,L 20-23,*,33,53,62.26,338,2,4,61.7,7,39,6.38,3.74,6,47,7.83,0,0,0,0.0,0,0,0,0,0,2,1,0,0,0,0,100,100%,0,0%,0,0%,
35,2022,2022-09-18,2,2,25.282,CIN,@,DAL,L 17-20,*,24,36,66.67,199,1,0,89.9,6,34,5.53,6.08,4,26,6.50,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,70,100%,0,0%,0,0%,
36,2022,2022-09-25,3,3,25.289,CIN,@,NYJ,W 27-12,*,23,36,63.89,275,3,0,114.9,2,14,7.64,9.31,5,0,0.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,
37,2022,2022-09-29,4,4,25.293,CIN,,MIA,W 27-15,*,20,31,64.52,287,2,0,115.9,1,6,9.26,10.55,5,6,1.20,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,
38,2022,2022-10-09,5,5,25.303,CIN,@,BAL,L 17-19,*,24,35,68.57,217,1,1,82.7,2,15,6.20,5.49,3,6,2.00,1,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,
39,2022,2022-10-16,6,6,25.310,CIN,@,NOR,W 30-26,*,28,37,75.68,300,3,0,126.0,3,27,8.11,9.73,4,25,6.25,1,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,57,100%,0,0%,0,0%,
40,2022,2022-10-23,7,7,25.317,CIN,,ATL,W 35-17,*,34,42,80.95,481,3,0,138.2,3,22,11.45,12.88,3,20,6.67,1,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,
41,2022,2022-10-31,8,8,25.325,CIN,@,CLE,L 13-32,*,25,35,71.43,232,2,1,96.4,5,39,6.63,6.49,1,2,2.00,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,53,100%,0,0%,0,0%,
42,2022,2022-11-06,9,9,25.331,CIN,,CAR,W 42-21,*,22,28,78.57,206,1,0,109.2,1,5,7.36,8.07,4,9,2.25,1,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,58,78%,0,0%,0,0%,
43,2022,2022-11-20,10,11,25.345,CIN,@,PIT,W 37-30,*,24,39,61.54,355,4,2,104.1,2,9,9.10,8.85,4,5,1.25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,
44,2022,2022-11-27,11,12,25.352,CIN,@,TEN,W 20-16,*,22,37,59.46,270,1,0,91.0,1,4,7.30,7.84,9,32,3.56,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,
45,2022,2022-12-04,12,13,25.359,CIN,,KAN,W 27-24,*,25,31,80.65,286,2,0,126.6,1,7,9.23,10.52,11,46,4.18,1,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,
46,2022,2022-12-11,13,14,26.001,CIN,,CLE,W 23-10,*,18,33,54.55,239,2,1,85.3,1,3,7.24,7.09,6,10,1.67,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,
47,2022,2022-12-18,14,15,26.008,CIN,@,TAM,W 34-23,*,27,39,69.23,200,4,1,104.6,2,16,5.13,6.03,3,8,2.67,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,66,100%,0,0%,0,0%,
48,2022,2022-12-24,15,16,26.014,CIN,@,NWE,W 22-18,*,40,52,76.92,375,3,2,99.4,2,6,7.21,6.63,4,5,1.25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,83,100%,0,0%,0,0%,
49,2022,2023-01-08,16,18,26.029,CIN,,BAL,W 27-16,*,25,42,59.52,215,1,0,81.0,2,13,5.12,5.60,3,10,3.33,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,66,100%,0,0%,0,0%,
50,2023,2023-09-10,1,1,26.274,CIN,@,CLE,L 3-24,*,14,31,45.16,82,0,0,52.2,2,15,2.65,2.65,1,-1,-1.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,93%,0,0%,0,0%,
51,2023,2023-09-17,2,2,26.281,CIN,,BAL,L 24-27,*,27,41,65.85,222,2,1,85.6,1,6,5.41,5.29,1,5,5.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,
52,2023,2023-09-25,3,3,26.289,CIN,,LAR,W 19-16,*,26,49,53.06,259,0,1,59.8,2,17,5.29,4.37,3,-2,-0.67,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,77,100%,0,0%,0,0%,
