Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
13,2018,2018-12-09,13,14,23.239,CLE,,CAR,W 26-20,*,18,22,81.82,238,1,0,126.9,1,6,10.82,11.73,4,2,0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,52,100%,0,0%,0,0%,
14,2018,2018-12-15,14,15,23.245,CLE,@,DEN,W 17-16,*,18,31,58.06,188,2,1,83.8,2,13,6.06,5.90,4,6,1.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,67,100%,0,0%,0,0%,
15,2018,2018-12-23,15,16,23.253,CLE,,CIN,W 26-18,*,27,37,72.97,284,3,0,121.9,0,0,7.68,9.30,6,16,2.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,69,100%,0,0%,0,0%,
16,2018,2018-12-30,16,17,23.260,CLE,@,BAL,L 24-26,*,23,42,54.76,376,3,3,79.1,0,0,8.95,7.17,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,59,100%,0,0%,0,0%,
17,2019,2019-09-08,1,1,24.147,CLE,,TEN,L 13-43,*,25,38,65.79,285,1,3,64.0,5,41,7.50,4.47,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,
18,2019,2019-09-16,2,2,24.155,CLE,@,NYJ,W 23-3,*,19,35,54.29,325,1,1,83.6,3,20,9.29,8.57,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,
19,2019,2019-09-22,3,3,24.161,CLE,,LAR,L 13-20,*,18,36,50.00,195,1,1,64.0,3,20,5.42,4.72,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,68,100%,0,0%,0,0%,
20,2019,2019-09-29,4,4,24.168,CLE,@,BAL,W 40-25,*,20,30,66.67,342,1,1,102.4,1,5,11.40,10.57,3,1,0.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,
21,2019,2019-10-07,5,5,24.176,CLE,@,SFO,L 3-31,*,8,22,36.36,100,0,2,13.4,4,42,4.55,0.45,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,2,1,0,0,0,0,43,93%,0,0%,0,0%,
22,2019,2019-10-13,6,6,24.182,CLE,,SEA,L 28-32,*,22,37,59.46,249,1,3,54.9,0,0,6.73,3.62,4,35,8.75,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,
23,2019,2019-10-27,7,8,24.196,CLE,@,NWE,L 13-27,*,20,31,64.52,194,1,1,79.2,5,43,6.26,5.45,1,18,18.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,
24,2019,2019-11-03,8,9,24.203,CLE,@,DEN,L 19-24,*,27,42,64.29,273,1,0,90.7,2,12,6.50,6.98,3,22,7.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,
25,2019,2019-11-10,9,10,24.210,CLE,,BUF,W 19-16,*,26,38,68.42,238,2,0,102.7,2,17,6.26,7.32,2,1,0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,
26,2019,2019-11-14,10,11,24.214,CLE,,PIT,W 21-7,*,17,32,53.13,193,2,0,92.3,1,4,6.03,7.28,1,1,1.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,69,99%,0,0%,0,0%,
27,2019,2019-11-24,11,12,24.224,CLE,,MIA,W 41-24,*,24,34,70.59,327,3,1,118.1,1,7,9.62,10.06,2,5,2.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,2,-20,0,74,99%,0,0%,0,0%,
28,2019,2019-12-01,12,13,24.231,CLE,@,PIT,L 13-20,*,18,32,56.25,196,1,1,71.9,5,23,6.13,5.34,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,64,97%,0,0%,0,0%,
29,2019,2019-12-08,13,14,24.238,CLE,,CIN,W 27-19,*,11,24,45.83,192,0,2,38.9,1,5,8.00,4.25,2,13,6.50,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,98%,0,0%,0,0%,
30,2019,2019-12-15,14,15,24.245,CLE,@,ARI,L 24-38,*,30,43,69.77,247,2,1,90.0,1,6,5.74,5.63,2,11,5.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,
31,2019,2019-12-22,15,16,24.252,CLE,,BAL,L 15-31,*,20,33,60.61,192,2,1,84.4,0,0,5.82,5.67,2,4,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,
32,2019,2019-12-29,16,17,24.259,CLE,@,CIN,L 23-33,*,12,27,44.44,279,3,3,79.6,6,40,10.33,7.56,4,29,7.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,54,100%,0,0%,0,0%,
33,2020,2020-09-13,1,1,25.152,CLE,@,BAL,L 6-38,*,21,39,53.85,189,1,1,65.0,2,21,4.85,4.21,2,3,1.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,
34,2020,2020-09-17,2,2,25.156,CLE,,CIN,W 35-30,*,16,23,69.57,219,2,1,110.6,0,0,9.52,9.30,3,5,1.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,100%,0,0%,0,0%,
35,2020,2020-09-27,3,3,25.166,CLE,,WAS,W 34-20,*,16,23,69.57,156,2,0,117.3,2,14,6.78,8.52,1,1,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,
36,2020,2020-10-04,4,4,25.173,CLE,@,DAL,W 49-38,*,19,30,63.33,165,2,0,100.0,2,1,5.50,6.83,3,6,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,75,99%,0,0%,0,0%,
37,2020,2020-10-11,5,5,25.180,CLE,,IND,W 32-23,*,21,37,56.76,247,2,2,72.7,1,4,6.68,5.32,2,17,8.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,73,100%,0,0%,0,0%,
38,2020,2020-10-18,6,6,25.187,CLE,@,PIT,L 7-38,*,10,18,55.56,119,1,2,54.9,4,20,6.61,2.72,1,5,5.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,74%,0,0%,0,0%,
39,2020,2020-10-25,7,7,25.194,CLE,@,CIN,W 37-34,*,22,28,78.57,297,5,1,135.6,0,0,10.61,12.57,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,100%,0,0%,0,0%,
40,2020,2020-11-01,8,8,25.201,CLE,,LVR,L 6-16,*,12,25,48.00,122,0,0,62.4,0,0,4.88,4.88,6,29,4.83,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,100%,0,0%,0,0%,
41,2020,2020-11-15,9,10,25.215,CLE,,HOU,W 10-7,*,12,20,60.00,132,0,0,79.6,1,7,6.60,6.60,3,1,0.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,65,100%,0,0%,0,0%,
42,2020,2020-11-22,10,11,25.222,CLE,,PHI,W 22-17,*,12,22,54.55,204,0,0,86.2,3,17,9.27,9.27,6,9,1.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,2,1,0,0,-6,0,67,100%,0,0%,0,0%,
43,2020,2020-11-29,11,12,25.229,CLE,@,JAX,W 27-25,*,19,29,65.52,258,2,0,116.7,2,6,8.90,10.28,4,1,0.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,
44,2020,2020-12-06,12,13,25.236,CLE,@,TEN,W 41-35,*,25,33,75.76,334,4,0,147.0,0,0,10.12,12.55,4,5,1.25,0,1,1,6,6.00,0,100.0%,6.00,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,72,99%,0,0%,0,0%,
45,2020,2020-12-14,13,14,25.244,CLE,,BAL,L 42-47,*,28,47,59.57,343,2,1,87.5,0,0,7.30,7.19,5,23,4.60,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,1,0,0,0,-9,0,83,99%,0,0%,0,0%,
46,2020,2020-12-20,14,15,25.250,CLE,@,NYG,W 20-6,*,27,32,84.38,297,2,0,126.2,1,11,9.28,10.53,4,11,2.75,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,
47,2020,2020-12-27,15,16,25.257,CLE,@,NYJ,L 16-23,*,28,53,52.83,285,0,0,68.5,4,31,5.38,5.38,3,6,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,3,2,0,0,0,0,81,100%,0,0%,0,0%,
48,2020,2021-01-03,16,17,25.264,CLE,,PIT,W 24-22,*,17,27,62.96,196,1,0,97.1,4,30,7.26,8.00,6,44,7.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,
49,2021,2021-09-12,1,1,26.151,CLE,@,KAN,L 29-33,*,21,28,75.00,321,0,1,97.5,2,17,11.46,9.86,1,7,7.00,0,0,0,11,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,100%,0,0%,0,0%,
50,2021,2021-09-19,2,2,26.158,CLE,,HOU,W 31-21,*,19,21,90.48,213,1,1,105.0,2,14,10.14,8.95,8,10,1.25,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,1,0,0,0,0,0,61,100%,0,0%,0,0%,
51,2021,2021-09-26,3,3,26.165,CLE,,CHI,W 26-6,*,19,31,61.29,246,1,0,97.0,5,43,7.94,8.58,4,31,7.75,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,76,94%,0,0%,0,0%,
52,2021,2021-10-03,4,4,26.172,CLE,@,MIN,W 14-7,*,15,33,45.45,155,0,0,59.5,3,12,4.70,4.70,2,11,5.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,78,100%,0,0%,0,0%,
53,2021,2021-10-10,5,5,26.179,CLE,@,LAC,L 42-47,*,23,32,71.88,305,2,0,122.5,1,4,9.53,10.78,2,8,4.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,72,100%,0,0%,0,0%,
54,2021,2021-10-17,6,6,26.186,CLE,,ARI,L 14-37,*,19,28,67.86,234,2,1,102.4,5,23,8.36,8.18,3,8,2.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,2,2,0,0,0,0,55,93%,0,0%,0,0%,
56,2021,2021-10-31,8,8,26.200,CLE,,PIT,L 10-15,*,20,31,64.52,225,0,0,86.1,4,15,7.26,7.26,1,5,5.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,100%,0,0%,0,0%,
57,2021,2021-11-07,9,9,26.207,CLE,@,CIN,W 41-16,*,14,21,66.67,218,2,0,132.6,2,10,10.38,12.29,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,94%,0,0%,0,0%,
58,2021,2021-11-14,10,10,26.214,CLE,@,NWE,L 7-45,*,11,21,52.38,73,1,1,56.2,2,17,3.48,2.29,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,36,61%,0,0%,0,0%,
59,2021,2021-11-21,11,11,26.221,CLE,,DET,W 13-10,*,15,29,51.72,176,1,2,53.2,1,11,6.07,3.66,4,9,2.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,74,100%,0,0%,0,0%,
60,2021,2021-11-28,12,12,26.228,CLE,@,BAL,L 10-16,*,18,37,48.65,247,1,0,79.4,2,24,6.68,7.22,2,4,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,60,100%,0,0%,0,0%,
61,2021,2021-12-12,13,14,26.242,CLE,,BAL,W 24-22,*,22,32,68.75,190,2,1,91.9,0,0,5.94,5.78,6,14,2.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,97%,0,0%,0,0%,
63,2021,2021-12-25,15,16,26.255,CLE,@,GNB,L 22-24,*,21,36,58.33,222,2,4,55.3,5,33,6.17,2.28,2,11,5.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,
64,2021,2022-01-03,16,17,26.264,CLE,@,PIT,L 14-26,*,16,38,42.11,185,2,2,53.1,9,46,4.87,3.55,2,16,8.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,
66,2022,2022-09-11,1,1,27.150,CAR,,CLE,L 24-26,*,16,27,59.26,235,1,1,84.6,4,28,8.70,7.78,5,6,1.20,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,4,0,0,4,2,0,53,100%,0,0%,0,0%,
67,2022,2022-09-18,2,2,27.157,CAR,@,NYG,L 16-19,*,14,29,48.28,145,1,0,74.6,2,16,5.00,5.69,6,35,5.83,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,58,100%,0,0%,0,0%,
68,2022,2022-09-25,3,3,27.164,CAR,,NOR,W 22-14,*,12,25,48.00,170,1,0,83.7,3,22,6.80,7.60,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,
69,2022,2022-10-02,4,4,27.171,CAR,,ARI,L 16-26,*,22,36,61.11,197,1,2,61.9,2,17,5.47,3.53,2,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0.0,1,0,1,0,0,1,1,0,0,1,0,52,100%,0,0%,0,0%,
70,2022,2022-10-09,5,5,27.178,CAR,,SFO,L 15-37,*,20,36,55.56,215,0,1,61.7,4,16,5.97,4.72,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,87%,0,0%,0,0%,
74,2022,2022-11-06,9,9,27.206,CAR,@,CIN,L 21-42,,14,20,70.00,155,2,0,126.0,0,0,7.75,9.75,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,63%,0,0%,0,0%,
76,2022,2022-11-20,11,11,27.220,CAR,@,BAL,L 3-13,*,21,33,63.64,196,0,2,54.6,4,27,5.94,3.21,2,12,6.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,100%,0,0%,0,0%,
78,2022,2022-12-08,13,14,27.238,LAR,,LVR,W 17-16,,22,35,62.86,230,1,0,91.4,4,19,6.57,7.14,4,10,2.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,95%,0,0%,0,0%,
79,2022,2022-12-19,14,15,27.249,LAR,@,GNB,L 12-24,*,12,21,57.14,111,1,1,67.8,5,27,5.29,4.10,1,1,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,45,100%,0,0%,0,0%,
80,2022,2022-12-25,15,16,27.255,LAR,,DEN,W 51-14,*,24,28,85.71,230,2,0,124.7,0,0,8.21,9.64,2,2,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,61,94%,0,0%,0,0%,
81,2022,2023-01-01,16,17,27.262,LAR,@,LAC,L 10-31,*,11,19,57.89,132,0,0,79.3,3,21,6.95,6.95,3,8,2.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,49,100%,0,0%,0,0%,
82,2022,2023-01-08,17,18,27.269,LAR,@,SEA,L 16-19,*,13,26,50.00,147,0,1,51.3,5,24,5.65,3.92,5,16,3.20,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,
83,2023,2023-09-10,1,1,28.149,TAM,@,MIN,W 20-17,*,21,34,61.76,173,2,0,94.4,1,4,5.09,6.26,8,11,1.38,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,
84,2023,2023-09-17,2,2,28.156,TAM,,CHI,W 27-17,*,26,34,76.47,317,1,0,114.5,0,0,9.32,9.91,6,17,2.83,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,71,100%,0,0%,0,0%,
85,2023,2023-09-25,3,3,28.164,TAM,,PHI,L 11-25,*,15,25,60.00,146,1,1,73.1,2,13,5.84,4.84,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,47,100%,0,0%,0,0%,
86,2023,2023-10-01,4,4,28.170,TAM,@,NOR,W 26-9,*,25,32,78.13,246,3,1,116.9,1,7,7.69,8.16,8,31,3.88,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,
87,2023,2023-10-15,5,6,28.184,TAM,,DET,L 6-20,*,19,37,51.35,206,0,1,56.8,1,1,5.57,4.35,2,6,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%,
88,2023,2023-10-22,6,7,28.191,TAM,,ATL,L 13-16,*,27,42,64.29,275,1,1,81.0,3,19,6.55,5.95,3,32,10.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,73,100%,0,0%,0,0%,
89,2023,2023-10-26,7,8,28.195,TAM,@,BUF,L 18-24,*,25,42,59.52,237,2,0,91.1,3,13,5.64,6.60,3,19,6.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,68,100%,0,0%,0,0%,
90,2023,2023-11-05,8,9,28.205,TAM,@,HOU,L 37-39,*,21,30,70.00,265,2,0,119.4,2,14,8.83,10.17,4,4,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,
91,2023,2023-11-12,9,10,28.212,TAM,,TEN,W 20-6,*,18,29,62.07,278,2,1,102.4,3,15,9.59,9.41,3,12,4.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,64,98%,0,0%,0,0%,
92,2023,2023-11-19,10,11,28.219,TAM,@,SFO,L 14-27,*,29,45,64.44,246,1,1,76.7,4,25,5.47,4.91,3,5,1.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,71,100%,0,0%,0,0%,
93,2023,2023-11-26,11,12,28.226,TAM,@,IND,L 20-27,*,20,30,66.67,199,2,1,93.6,6,26,6.63,6.47,3,14,4.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,2,1,0,0,-5,0,58,97%,0,0%,0,0%,
94,2023,2023-12-03,12,13,28.233,TAM,,CAR,W 21-18,*,14,29,48.28,202,1,1,68.5,1,8,6.97,6.10,2,-2,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,
95,2023,2023-12-10,13,14,28.240,TAM,@,ATL,W 29-25,*,14,29,48.28,144,2,0,86.0,1,2,4.97,6.34,3,3,1.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,
96,2023,2023-12-17,14,15,28.247,TAM,@,GNB,W 34-20,*,22,28,78.57,381,4,0,158.3,5,28,13.61,16.46,2,-2,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,62,100%,0,0%,0,0%,
97,2023,2023-12-24,15,16,28.254,TAM,,JAX,W 30-12,*,26,35,74.29,283,2,0,116.7,2,18,8.09,9.23,5,5,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,74,100%,0,0%,0,0%,
98,2023,2023-12-31,16,17,28.261,TAM,,NOR,L 13-23,*,22,33,66.67,309,2,2,91.6,2,17,9.36,7.85,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%,
99,2023,2024-01-07,17,18,28.268,TAM,@,CAR,W 9-0,*,20,32,62.50,137,0,0,72.0,3,22,4.28,4.28,5,7,1.40,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,
100,2024,2024-09-08,1,1,29.147,TAM,,WAS,W 37-20,*,24,30,80.00,289,4,0,146.4,1,9,9.63,12.30,3,21,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,97%,0,0%,0,0%,
101,2024,2024-09-15,2,2,29.154,TAM,@,DET,W 20-16,*,12,19,63.16,185,1,1,90.9,5,39,9.74,8.42,5,34,6.80,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,2,0,0,1,0,0,48,100%,0,0%,0,0%,
102,2024,2024-09-22,3,3,29.161,TAM,,DEN,L 7-26,*,25,33,75.76,163,1,1,83.3,7,31,4.94,4.18,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,100%,0,0%,0,0%,
103,2024,2024-09-29,4,4,29.168,TAM,,PHI,W 33-16,*,30,47,63.83,347,2,0,100.2,2,13,7.38,8.23,4,10,2.50,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,77,100%,0,0%,0,0%,
104,2024,2024-10-03,5,5,29.172,TAM,@,ATL,L 30-36,*,19,24,79.17,180,3,0,137.5,1,7,7.50,10.00,6,42,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,100%,0,0%,0,0%,
