Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
16,2019,2019-12-29,16,17,22.144,ARI,@,LAR,L 24-31,*,26,42,61.90,325,2,2,81.9,1,3,7.74,6.55,2,0,0.00,0,0,0,0,,0,0.0%,,,0,0,2,2,0,0,-10,0,63,93%,0,0%,0,0%,
17,2020,2020-09-13,1,1,23.037,ARI,@,SFO,W 24-20,*,26,40,65.00,230,1,1,78.1,2,6,5.75,5.13,13,91,7.00,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,82,100%,0,0%,0,0%,
18,2020,2020-09-20,2,2,23.044,ARI,,WAS,W 30-15,*,26,38,68.42,286,1,1,88.3,3,8,7.53,6.87,8,67,8.38,2,0,0,0,,0,0.0%,,,2,12,0,0,0,0,0,0,77,100%,0,0%,0,0%,
19,2020,2020-09-27,3,3,23.051,ARI,,DET,L 23-26,*,23,35,65.71,270,2,3,72.3,1,2,7.71,5.00,5,29,5.80,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,65,100%,0,0%,0,0%,
20,2020,2020-10-04,4,4,23.058,ARI,@,CAR,L 21-31,*,24,31,77.42,133,3,0,116.7,1,0,4.29,6.23,6,78,13.00,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,57,100%,0,0%,0,0%,
21,2020,2020-10-11,5,5,23.065,ARI,@,NYJ,W 30-10,*,27,37,72.97,380,1,1,103.4,1,11,10.27,9.59,9,31,3.44,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,75,99%,0,0%,0,0%,
22,2020,2020-10-19,6,6,23.073,ARI,@,DAL,W 38-10,*,9,24,37.50,188,2,0,93.7,1,11,7.83,9.50,10,74,7.40,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,62,100%,0,0%,0,0%,
23,2020,2020-10-25,7,7,23.079,ARI,,SEA,W 37-34,*,34,48,70.83,360,3,1,104.5,0,0,7.50,7.81,14,67,4.79,1,0,0,0,,0,0.0%,,,1,6,2,0,0,1,-2,0,84,100%,0,0%,0,0%,
24,2020,2020-11-08,8,9,23.093,ARI,,MIA,L 31-34,*,21,26,80.77,283,3,0,150.5,1,19,10.88,13.19,11,106,9.64,1,0,0,0,,0,0.0%,,,1,6,1,1,0,0,0,0,69,100%,0,0%,0,0%,
25,2020,2020-11-15,9,10,23.100,ARI,,BUF,W 32-30,*,22,32,68.75,245,1,1,88.7,3,9,7.66,6.88,11,61,5.55,2,0,0,0,,0,0.0%,,,2,12,0,0,0,0,0,0,73,100%,0,0%,0,0%,
26,2020,2020-11-19,10,11,23.104,ARI,@,SEA,L 21-28,*,29,42,69.05,269,2,0,102.2,3,12,6.40,7.36,5,15,3.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,
27,2020,2020-11-29,11,12,23.114,ARI,@,NWE,L 17-20,*,23,34,67.65,170,0,1,67.0,2,10,5.00,3.68,5,31,6.20,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,73,99%,0,0%,0,0%,
28,2020,2020-12-06,12,13,23.121,ARI,,LAR,L 28-38,*,21,39,53.85,173,3,1,80.4,2,33,4.44,4.82,5,15,3.00,0,0,0,0,,0,0.0%,,,0,0,2,1,0,0,-1,0,64,100%,0,0%,0,0%,
29,2020,2020-12-13,13,14,23.128,ARI,@,NYG,W 26-7,*,24,35,68.57,244,1,0,97.8,1,13,6.97,7.54,13,47,3.62,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,0,0,79,100%,0,0%,0,0%,
30,2020,2020-12-20,14,15,23.135,ARI,,PHI,W 33-26,*,27,36,75.00,406,3,1,127.8,1,9,11.28,11.69,8,29,3.63,1,0,0,0,,0,0.0%,,,1,6,2,1,0,0,0,0,68,100%,0,0%,0,0%,
31,2020,2020-12-26,15,16,23.141,ARI,,SFO,L 12-20,*,31,50,62.00,247,0,1,66.0,3,17,4.94,4.04,8,75,9.38,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,82,100%,0,0%,0,0%,
32,2020,2021-01-03,16,17,23.149,ARI,@,LAR,L 7-18,*,8,11,72.73,87,0,0,95.6,2,16,7.91,7.91,2,3,1.50,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,25,47%,0,0%,0,0%,
33,2021,2021-09-12,1,1,24.036,ARI,@,TEN,W 38-13,*,21,32,65.63,289,4,1,121.0,2,9,9.03,10.13,5,20,4.00,1,0,0,0,,0,0.0%,,,1,6,0,0,0,1,0,0,69,100%,0,0%,0,0%,
34,2021,2021-09-19,2,2,24.043,ARI,,MIN,W 34-33,*,29,36,80.56,400,3,2,117.6,3,29,11.11,10.28,5,31,6.20,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,61,100%,0,0%,0,0%,
35,2021,2021-09-26,3,3,24.050,ARI,@,JAX,W 31-19,*,28,34,82.35,316,0,1,93.1,0,0,9.29,7.97,7,19,2.71,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,67,100%,0,0%,0,0%,
36,2021,2021-10-03,4,4,24.057,ARI,@,LAR,W 37-20,*,24,32,75.00,268,2,0,120.3,3,19,8.38,9.63,6,39,6.50,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,76,97%,0,0%,0,0%,
37,2021,2021-10-10,5,5,24.064,ARI,,SFO,W 17-10,*,22,31,70.97,239,1,0,104.1,2,29,7.71,8.35,7,1,0.14,0,0,0,0,,0,0.0%,,,0,0,2,0,0,1,26,0,61,100%,0,0%,0,0%,
38,2021,2021-10-17,6,6,24.071,ARI,@,CLE,W 37-14,*,20,30,66.67,229,4,0,129.0,2,21,7.63,10.30,7,6,0.86,0,0,0,0,,0,0.0%,,,0,0,4,0,0,4,-18,0,68,91%,0,0%,0,0%,
39,2021,2021-10-24,7,7,24.078,ARI,,HOU,W 31-5,*,20,28,71.43,261,3,1,121.3,4,36,9.32,9.86,6,10,1.67,0,0,0,0,,0,0.0%,,,0,0,0,0,0,1,0,0,66,93%,0,0%,0,0%,
40,2021,2021-10-28,8,8,24.082,ARI,,GNB,L 21-24,*,22,33,66.67,274,0,2,67.0,2,14,8.30,5.58,6,21,3.50,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,-8,0,59,100%,0,0%,0,0%,
44,2021,2021-12-05,12,13,24.120,ARI,@,CHI,W 33-22,*,11,15,73.33,123,2,0,136.9,1,3,8.20,10.87,10,59,5.90,2,0,0,0,,0,0.0%,,,2,12,2,0,0,2,4,0,53,100%,0,0%,0,0%,
45,2021,2021-12-13,13,14,24.128,ARI,,LAR,L 23-30,*,32,49,65.31,383,0,2,72.1,4,39,7.82,5.98,7,61,8.71,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,-1,0,78,100%,0,0%,0,0%,
46,2021,2021-12-19,14,15,24.134,ARI,@,DET,L 12-30,*,23,41,56.10,257,1,1,72.9,2,20,6.27,5.66,4,3,0.75,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,-4,0,64,85%,0,0%,0,0%,
47,2021,2021-12-25,15,16,24.140,ARI,,IND,L 16-22,*,27,43,62.79,245,1,0,85.9,0,0,5.70,6.16,4,74,18.50,0,0,0,7,,0,0.0%,,,0,0,2,0,0,2,0,0,65,100%,0,0%,0,0%,
48,2021,2022-01-02,16,17,24.148,ARI,@,DAL,W 25-22,*,26,38,68.42,263,2,0,105.5,1,14,6.92,7.97,9,44,4.89,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,77,100%,0,0%,0,0%,
49,2021,2022-01-09,17,18,24.155,ARI,,SEA,L 30-38,*,28,39,71.79,240,1,0,96.1,5,53,6.15,6.67,5,35,7.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,76,100%,0,0%,0,0%,
50,2022,2022-09-11,1,1,25.035,ARI,,KAN,L 21-44,*,22,34,64.71,193,2,0,99.3,2,18,5.68,6.85,5,29,5.80,0,0,0,0,,0,0.0%,,,0,0,0,0,0,1,0,0,57,88%,0,0%,0,0%,
51,2022,2022-09-18,2,2,25.042,ARI,@,LVR,W 29-23,*,31,49,63.27,277,1,1,76.7,1,7,5.65,5.14,5,28,5.60,1,0,0,0,,0,0.0%,,1,1,8,0,0,0,0,0,0,87,100%,0,0%,0,0%,
52,2022,2022-09-25,3,3,25.049,ARI,,LAR,L 12-20,*,37,58,63.79,314,0,0,77.8,2,19,5.41,5.41,2,8,4.00,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,0,0,83,100%,0,0%,0,0%,
53,2022,2022-10-02,4,4,25.056,ARI,@,CAR,W 26-16,*,23,32,71.88,207,2,1,96.7,1,1,6.47,6.31,12,26,2.17,1,0,0,0,,0,0.0%,,,1,6,1,0,0,1,0,0,76,100%,0,0%,0,0%,
54,2022,2022-10-09,5,5,25.063,ARI,,PHI,L 17-20,*,28,42,66.67,250,1,1,80.5,1,11,5.95,5.36,4,42,10.50,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,
55,2022,2022-10-16,6,6,25.070,ARI,@,SEA,L 9-19,*,23,37,62.16,222,0,1,67.6,6,51,6.00,4.78,10,100,10.00,0,0,0,0,,0,0.0%,,,0,0,2,1,0,0,0,0,71,100%,0,0%,0,0%,
56,2022,2022-10-20,7,7,25.074,ARI,,NOR,W 42-34,*,20,29,68.97,204,1,0,100.4,2,15,7.03,7.72,7,30,4.29,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,0,0,66,100%,0,0%,0,0%,
57,2022,2022-10-30,8,8,25.084,ARI,@,MIN,L 26-34,*,31,44,70.45,326,3,2,95.5,4,29,7.41,6.73,6,36,6.00,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,5,0,78,100%,0,0%,0,0%,
58,2022,2022-11-06,9,9,25.091,ARI,,SEA,L 21-31,*,25,35,71.43,175,2,0,101.5,5,35,5.00,6.14,8,60,7.50,0,0,0,0,,0,0.0%,,,0,0,2,1,0,1,0,0,63,100%,0,0%,0,0%,
61,2022,2022-11-27,12,12,25.112,ARI,,LAC,L 24-25,*,18,29,62.07,191,2,1,89.9,1,6,6.59,6.41,7,56,8.00,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,66,100%,0,0%,0,0%,
62,2022,2022-12-12,13,14,25.127,ARI,,NWE,L 13-27,*,1,1,100.00,9,0,0,104.2,0,0,9.00,9.00,1,3,3.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,3,4%,0,0%,0,0%,
76,2023,2023-11-12,10,10,26.097,ARI,,ATL,W 25-23,*,19,32,59.38,249,0,1,71.0,2,19,7.78,6.38,6,33,5.50,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,63,97%,0,0%,0,0%,
77,2023,2023-11-19,11,11,26.104,ARI,@,HOU,L 16-21,*,20,30,66.67,214,1,1,84.6,3,18,7.13,6.30,7,51,7.29,1,0,0,0,,0,0.0%,,,1,6,1,0,0,0,0,0,61,100%,0,0%,0,0%,
78,2023,2023-11-26,12,12,26.111,ARI,,LAR,L 14-37,*,27,45,60.00,256,1,0,83.2,4,37,5.69,6.13,1,2,2.00,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,70,99%,0,0%,0,0%,
79,2023,2023-12-03,13,13,26.118,ARI,@,PIT,W 24-10,*,13,23,56.52,145,1,0,89.9,2,13,6.30,7.17,9,20,2.22,0,0,0,0,,0,0.0%,,,0,0,2,0,0,0,-3,0,68,100%,0,0%,0,0%,
80,2023,2023-12-17,14,15,26.132,ARI,,SFO,L 29-45,*,26,39,66.67,211,1,2,67.4,3,9,5.41,3.62,6,49,8.17,0,0,0,0,,0,0.0%,,,0,0,2,0,0,0,0,0,72,97%,0,0%,0,0%,
81,2023,2023-12-24,15,16,26.139,ARI,@,CHI,L 16-27,*,24,38,63.16,230,2,0,97.5,2,17,6.05,7.11,5,32,6.40,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,-8,0,61,100%,0,0%,0,0%,
82,2023,2023-12-31,16,17,26.146,ARI,@,PHI,W 35-31,*,25,31,80.65,232,3,1,116.7,1,4,7.48,7.97,5,24,4.80,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,0,0,75,99%,0,0%,0,0%,
83,2023,2024-01-07,17,18,26.153,ARI,,SEA,L 20-21,*,22,30,73.33,262,1,0,110.7,1,2,8.73,9.40,5,33,6.60,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,68,97%,0,0%,0,0%,
84,2024,2024-09-08,1,1,27.032,ARI,@,BUF,L 28-34,*,21,31,67.74,162,1,0,91.1,4,16,5.23,5.87,5,57,11.40,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,61,100%,0,0%,0,0%,
85,2024,2024-09-15,2,2,27.039,ARI,,LAR,W 41-10,*,17,21,80.95,266,3,0,158.3,1,8,12.67,15.52,5,59,11.80,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,60,91%,0,0%,0,0%,
86,2024,2024-09-22,3,3,27.046,ARI,,DET,L 13-20,*,21,34,61.76,207,1,1,76.5,1,7,6.09,5.35,5,45,9.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,59,100%,0,0%,0,0%,
87,2024,2024-09-29,4,4,27.053,ARI,,WAS,L 14-42,*,16,22,72.73,142,1,0,104.7,4,27,6.45,7.36,1,3,3.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,59,100%,0,0%,0,0%,
88,2024,2024-10-06,5,5,27.060,ARI,@,SFO,W 24-23,*,19,30,63.33,195,1,1,79.2,1,6,6.50,5.67,7,83,11.86,1,0,0,0,,0,0.0%,,,1,6,1,0,0,0,0,0,58,100%,0,0%,0,0%,
